Comment,Designator,Footprint
10uF,"C1, C5, C7, C9, C11",C_0603_1608Metric
100nF,"C2, C6, C8, C10, C12",C_0603_1608Metric
22uF,"C3, C4",C_0603_1608Metric
4.7uH,L1,L_0603_1608Metric
Motor Driver,"U1, U3",C88224_SSOP-24_L8_4-W5_8-P0_65-LS7_8-BL
AP63203WU-7,U2,C780769_TSOT-26_L2_9-W1_6-P0_95-LS2_8-BL
