Designator,Mid X,Mid Y,Layer,Rotation
C1,111.6,-141.365,top,90
C2,107.375,-138.53,top,0
C3,111.38,-135.66,top,-90
C4,109.78,-135.66,top,-90
C5,120.49,-142.155,top,90
C6,98.99,-142.025,top,-90
C7,119.55,-148.115,top,-90
C8,117.81,-148.13,top,-90
C9,97.36,-141.99,top,-90
C10,118.88,-142.155,top,90
C11,98.07,-150.75,top,-90
C12,96.32,-150.755,top,-90
L1,108.16,-135.73,top,90
U1,91.48,-142.28,top,-90
U2,108.17,-141.72,top,0
U3,126.29,-141.9325,top,90
